objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
demo_001,,WAvJvAOAkDM,,Eraserheads - The Reunion Concert 2008,EraserHeads,"August 30, 2008. ",YouTube,Music,Philippines,,,sgtpaminta,,video,video/mp4,tagalog,,
demo_002,,6JYyrNX1vcQ,,"Eraserheads on ""Martin Late @ Nite"" - April 2001",EraserHeads,"July 25, 2019","Eraserheads promotes their latest album, ""Carbon Stereoxide"", on ""Martin Late @ Nite"", in April 2001.
Hosted by Martin Nievera.

00:00 Playground (intro)
00:49 Maskara
04:50 How Far Will U Go?
07:51 Hula
10:58 Out Of Sight
13:38 Palamig
17:37 Paintstripper
23:03 Omnesia

Courtesy of The Schizo Archives

Eraserheads : Database - http://www.eheads-database.com
Wikipedia - https://en.wikipedia.org/wiki/Eraserh...

#Eraserheads #CarbonStereoxide #MartinNievera
",Music,Philippines,,,schizo's Eraserheads Video Vault,,video,video/mp4,tagalog,,
demo_003,,IO20xNqrlbU,,"Eraserheads live in Los Angeles - May 2, 1997 [Full Show w/ Enhanced Audio]",EraserHeads,1997-05-02,"Eraserheads performs live to a sold-out crowd at The Palace, Hollywood, Los Angeles, CA on May 2, 1997 Friday. This was their first ever US show!

Show produced by King In A Productions.

US Tour 1997 personnel:
Ely Buendia - lead vocals, guitars
Marcus Adoro - guitars, backing vocals
Buddy Zabala - bass guitar, backing vocals
Raimund Marasigan - drums, backing vocals
Jessica Zafra - band/tour manager 
Earnest  Mangalubnan - asst. tour manager / merchandise
Romel 'Sancho' Sanchez - backline tech
Mark Villena - backline tech
Jaime Godinez - sound engineer

Videotaped by schizo & Laurence ""shoegazer"" Macaspac

Notes:
I originally uploaded a short clip of this show on my personal YT page on 12/1/2006. I also created & uploaded a full, 'docu-style' home video of the entire show with soundcheck & other pre-show footage broken into 15 parts on 8/29/2008, This one is just the full concert only but I kinda 'enhanced' the audio. The original audio was too bassy & had lots of clipping, clicks, etc.
Anyway, enjoy this new upload.

Eraserheads : Database - http://www.eheads-database.com
Wikipedia - https://en.wikipedia.org/wiki/Eraserh...

Courtesy of The Schizo Archives
Check out my personal YouTube channel:    / schizo102  

#Eraserheads #LosAngeles #Hollywood",Music,Los Angeles,,,schizo's Eraserheads Video Vault,,video,video/mp4,tagalog,,
demo_004,,DloHMePEJRk,,"Eraserheads @ ""PBA All-Stars Fans Day"" - July 16, 1995",EraserHeads,"July 16, 1995","Watch an Expanded & HD version (2025):    • Eraserheads @ ""PBA All-Stars Fans Day"" - J...  
Eraserheads performing live at ""PBA All-Stars Fans Day"" @ Araneta Coliseum, Cubao, Quezon City - July 16, 1995 Sunday.
Alapaap / Run Barbi Run

Courtesy of Erwin Solana's E-Museum.
Footage from the Eraserheads/P.I.L.L. Archives.
Uploaded by schizo.

Eraserheads : Database - http://www.eheads-database.com
Wikipedia - https://en.wikipedia.org/wiki/Eraserh...

#Eraserheads #AranetaColiseum #PBA",Music,Philippines,,,schizo's Eraserheads Video Vault,,video,video/mp4,tagalog,,
demo_005,,QJl-nuoIRvg,,Eraserheads Live in Singapore! Full Reunion Concert,EraserHeads,2013-08-10,"Throwback! | 10 August 2013
#Eraserheads LIVE in Singapore ""The Reunion Concert""
Produced by: Beyond Photography Productions
Hit Like & Subscribe if you witnessed this LEGENDARY Concert!

Timestamps:
0:00 - intro / soundcheck 
2:23 - walang nagbago
6:00 - maling akala
10:41 - back2me
13:11 - sembreak
17:29 - kaliwete
21:06 - ligaya
25:32 - wag mo nang itanong
30:02 - kailan

33:32 - spoliarium
39:57 - overdrive
45:00 - with a smile
50:24 - poorman's grave
54:53 - wag kang matakot
58:12 - julie tearjerky
1:02:27 - lightyears
1:07:31 - harana
1:14:20 - waiting for the bus
1:18:07 - paru-parong ningning
1:21:20 - torpedo
1:25:55 - minsan
1:30:56 - superproxy
1:37:40 - kamasupra
1:42:23 - magasin
1:46:30 - ang huling el bimbo

encore!
2:00:40 - pare ko
2:05:51 - toyang
2:09:20 - alapaap

Eraserheads, is a Filipino rock band of the 90s, formed by Ely Buendia, Raimund Marasigan, Buddy Zabala, and Marcus Adoro. The band is one of the most successful, influential, critically acclaimed, and significant bands in the history of OPM.

#Eraserheads
#HulingElBimboTour
#EraserheadsSG
#EraserheadsLive
#FilipinoRock
#SingaporeConcert
#PinoyMusic
#PinoyRockLegends
#HulingElBimbo2024
#EraserheadsReunion
#EraserheadsSingapore
#FilipinoMusicCulture
#EraserheadsFans
#SingaporeEvents
#PinoyInSingapore
#EraserheadsLive2024
#FilipinoConcert
#FilipinoDiaspora
#PinoyRockNostalgia
#HulingElBimboConcert
#EraserheadsTour
",Music,Singapore,,,Beyond Photography Productions,,video,video/mp4,tagalog,,
demo_006,,16RQp5HXTw8,,Eraserheads - Light Years,EraserHeads,2011-09-09,"Music video by Eraserheads performing Light Years. (C) 2009 SONY BMG Music Entertainment (Philippines), Inc.",Music,Philippines,,,Eraserheads Official Channel,,video,video/mp4,tagalog,,
demo_007,,SPvuRy6SVo4,,"ERASERHEADS CONCERT in MELBOURNE! ""Ang Huling El Bimbo World Tour 2025"" in Australia",EraserHeads,2025-03-01,"Eraserheads played the 1st leg of Australian tour in Melbourne, Australia,  on March 1, 2025. Held at Melbourne Excebhition Centre, it was the biggest FILIPINO concert in Melbourne ever! Some of the songs were excluded as the footages weren't great.

#eraserheads #anghulingelbimbo #opmsongs #opmmusic #spolariumdocumentary

**No Copyright Infringement Intended**",Music,Australia,,,AJ Gregorio,,video,video/mp4,tagalog,,
demo_008,,n8eM1v_ay9k,,"Eraserheads live at Mayric's - July 26, 1994 [Expanded Version, 2025]",EraserHeads,"July 26, 1994","Eraserheads performing live at Mayric's, Espana St., Manila on July 26, 1994 Tuesday.
Courtesy of Erwin Solana's E-Museum.
Footage from the Eraserheads' Pop Infinity Limited Laundry (P.I.L.L.) Archives
Edited & uploaded exclusively by schizo.

Setlist:
05:37 - Pare Ko
06:23 - Combo On The Run
10:15 - Easy Ka Lang
14:51 - Maling Akala
19:25 - Sembreak
23:43 - Alkohol
26:25 - Bato
29:50 - Butterscotch
33:32 - Shirley
36:56 - Toyang
41:07 - Shake Yer Head
45:25 - Hey, Jay
50:03 - Kailan
54:05 - Magasin
58:28 - Alapaap
01:03:00 - Insomya
01:05:23 - Pare Ko (reprise)

A shorter version was originally uploaded on January 30, 2020.

Eraserheads : Database - http://www.eheads-database.com
Wikipedia - https://en.wikipedia.org/wiki/Eraserh...

#Eraserheads #Eheads #Mayrics",Music,Philippines,,,schizo's Eraserheads Video Vault,,video,video/mp4,tagalog,,
demo_009,,2fEXNwn2gUY,,FULL - Eraserheads - Huling El Bimbo 2022 Reunion Concert,EraserHeads,"December 22, 2022","21  Huling El Bimbo was held on December 22, 2022, at SMDC Festival Grounds in Parañaque, Metro Manila.

Chapters
00:00 Intro (First Set - Cutterpillow)
03:38 Superproxy
10:16 Back2Me
14:20 Waiting For The Bus
18:02 Fine Time
21:30 Kamasupra
26:30 Overdrive
31:50 Slo Mo
35:45 Torpedo
40:25 Huwag Mo Nang Itanong
45:08 Paru-Parong Ningning
48:10 Walang Nagbago
51:48 Poorman's Grave
56:44 Yoko
1:01:45 Fill Her (Acoustic)
1:05:22 Intro (Second Set)
1:08:00 Pop Machine
1:15:34 Sembreak
1:20:24 Sabado
1:25:31 Ligaya
1:31:02 Lightyears (with Mel Villena's A.M.P Orchestral Band)
1:36:10 Saturn Return (with Elmo Magalona and Arkin Magalona)
1:42:42 Maling Akala
1:48:25 Tama Ka (with Buddy Zabala on vocals)
1:52:00 With A Smile
1:58:35 Insomya
2:02:12 Christmas Party (with Gary Valenciano)
2:08:13 Spoliarium
2:14:15 Magasin
Pare Ko
Minsan
Alapaap
Ang Huling El Bimbo",Music,Philippines,,,Neil,,video,video/mp4,tagalog,,
demo_010,,JGlYZbGVTag,,Minsan (Live 2022) HD - Eraserheads Reunion Concert 2022 feat. AMP Orchestra,EraserHeads,"Dec 26, 2022",Minsan (Live 2022) HD - Eraserheads Reunion Concert 2022 feat. AMP Orchestra,Music,Philippines,,,Dito Tayo,,video,video/mp4,tagalog,,
